,labels,id,label_text_pred,label_text_pred_probability,label_pred
291,0,1.3126524057254912e+18,LABEL_0,0.99,0
3056,0,1.2761147443663217e+18,LABEL_0,0.97,0
2093,0,1.4748237443381494e+18,LABEL_0,0.99,0
432,0,1.3479336561453916e+18,LABEL_0,0.99,0
479,0,1.2533122151528325e+18,LABEL_0,0.82,0
1128,0,1.2562100100291666e+18,LABEL_0,0.99,0
501,1,1.4212005972069048e+18,LABEL_1,0.89,1
3165,0,1.4202055225491046e+18,LABEL_0,0.98,0
2778,0,1.311968616406016e+18,LABEL_0,0.96,0
2098,0,1.3500118098860485e+18,LABEL_0,0.95,0
3280,0,1.302859656524714e+18,LABEL_0,0.99,0
551,1,1.4580654594215854e+18,LABEL_0,0.95,0
1608,0,1.4095677990732513e+18,LABEL_0,0.99,0
1041,1,1.363823552793899e+18,LABEL_1,0.7,1
1637,0,1.2681340477604864e+18,LABEL_0,0.99,0
2742,1,1.311230994654126e+18,LABEL_0,0.89,0
1133,0,1.2874534356930847e+18,LABEL_0,0.95,0
2189,1,1.4048121850927268e+18,LABEL_1,0.95,1
2439,0,1.255859977337606e+18,LABEL_0,0.97,0
170,0,1.3215210729535035e+18,LABEL_0,0.99,0
1412,0,1.3520088987865047e+18,LABEL_1,0.5,1
229,0,1.2402574961677148e+18,LABEL_0,1.0,0
2985,1,1.335495322143953e+18,LABEL_1,0.65,1
3345,0,1.2688310434377114e+18,LABEL_0,0.97,0
2245,1,1.4395128145452196e+18,LABEL_0,0.92,0
787,0,1.459224435345531e+18,LABEL_0,0.99,0
298,0,1.4703369564375163e+18,LABEL_0,0.7,0
1271,0,1.2423781645187318e+18,LABEL_0,1.0,0
144,1,1.3135377711983862e+18,LABEL_1,0.55,1
1609,0,1.4853361676462162e+18,LABEL_0,0.99,0
32,0,1.2564699541922734e+18,LABEL_0,0.87,0
3200,0,1.322237845998719e+18,LABEL_0,0.74,0
2948,0,1.322280403064017e+18,LABEL_0,1.0,0
51,0,1.376976464491516e+18,LABEL_0,0.8,0
1406,0,1.3301714652878234e+18,LABEL_0,0.97,0
2707,0,1.2889414793067028e+18,LABEL_0,1.0,0
2236,0,1.2405264053242143e+18,LABEL_0,0.91,0
3025,0,1.4590892938933207e+18,LABEL_0,0.99,0
1949,0,1.459281257557381e+18,LABEL_0,0.99,0
2643,1,1.3419010315176591e+18,LABEL_1,0.97,1
393,0,1.447137526809088e+18,LABEL_0,0.99,0
183,0,1.3750267138354954e+18,LABEL_0,1.0,0
3232,1,1.3910086860390932e+18,LABEL_0,0.72,0
3187,0,1.456165880811905e+18,LABEL_0,1.0,0
3302,0,1.387033539171e+18,LABEL_0,0.97,0
862,0,1.4096265770931077e+18,LABEL_0,0.96,0
70,1,1.3635536494992466e+18,LABEL_1,0.93,1
257,0,1.2555614340896197e+18,LABEL_0,0.92,0
239,0,1.2429080079708856e+18,LABEL_0,0.99,0
1298,0,1.2881210428424806e+18,LABEL_0,0.74,0
1539,0,1.3176836976094863e+18,LABEL_0,0.7,0
1551,0,1.388146447003132e+18,LABEL_0,0.98,0
1102,0,1.2983786442184049e+18,LABEL_0,0.99,0
3066,0,1.4181127652108124e+18,LABEL_0,0.81,0
2266,0,1.4559274474766582e+18,LABEL_0,1.0,0
1991,1,1.3624708524287672e+18,LABEL_1,0.98,1
1580,1,1.2936550774425231e+18,LABEL_1,0.93,1
3122,0,1.3475730316028027e+18,LABEL_0,0.99,0
610,0,1.3009069360665436e+18,LABEL_0,0.98,0
2885,0,1.2663752412336087e+18,LABEL_0,0.99,0
680,1,1.4860923109579407e+18,LABEL_0,0.96,0
299,0,1.438055903509586e+18,LABEL_0,0.99,0
602,0,1.34873161296452e+18,LABEL_0,0.94,0
